,date,message,replies,media_available,reactions_total
73,2025-12-01 15:40:26+00:00,"@YandexMarketSupportBot и пока вы кормите завтраками и извиняетесь за то,что процесс отключения затянулся,селлеры продолжают платить за покатушки заказов с чудо постоплатой😡",,False,0
74,2025-12-01 15:40:04+00:00,"Здравствуйте, Сергей!

Простите за долгий ответ.

Проверили информацию, ошибка ""скрыт из-за проблем с маркировкой"" возникает из-за того, что в карточках товара не указан код ТН ВЭД. Для того, чтобы исправить ошибку, заполните, пожалуйста, коды ТН ВЭД в карточках товара",,False,1
75,2025-12-01 15:37:58+00:00,"судя по чату,в каждом случает тенические сложности у вас возникают.
1,5 недели,2 недели,месяц,полтора месяца-в такие сроки вы отключаете постоплату.и то не с первого раза.
неужели нельзя как-то ускорить процесс???",,False,1
76,2025-12-01 15:35:56+00:00,"Здравствуйте, Юля!

Все верно, срок отключения постоплаты - максимум 4 дня. Однако в некоторых случаях возникают технические сложности, из-за чего срок может быть увеличен 😔",,False,0
77,2025-12-01 15:31:23+00:00,"Здравствуйте, Наталья!

Пожалуйста, напишите нам в личные сообщения. Мы обязательно проверим👌",,False,0
78,2025-12-01 15:30:13+00:00,"почему вы не прописываете сроки отключения?
вы заявляете максимум 4 дня,а по факту недели и даже месяцы.неужели это технически тк сложно???",,False,1
79,2025-12-01 15:15:28+00:00,"у нас так в стране из покон веков, Продавцы всегда обманывают, а я-то бедный потому что честный, подумаешь подмену сделаю, или верну б/у от них не убудет, все-равно на нас наживаются. Пока у нас не будут уважать чужой труд, то ничего хорошего нас не ждет.",,False,0
80,2025-12-01 15:15:16+00:00,А если мы ни чего не меняли. А продажи упали при тех же настройках продвижения.,,False,1
81,2025-12-01 15:12:33+00:00,"Здравствуйте, Анвар!

Отключить постоплату можно двумя способами:
1. Создайте заявку на отключение через личный кабинет в разделе ""Поддержка"" - ""Создать обращение"" (важно, что заявка должна быть создана с логина владельца кабинета);
2. Вы можете отправить нам в личные сообщения документ - официальное письмо от организации с датой, печатью и подписью директора, указать ID кабинета и попросить об отключении постоплаты.

Используйте любой из этих способов, и мы отключим вам постоплату 🙂",,False,0
82,2025-12-01 15:04:47+00:00,Подскажите тут есть дизайнеры карточек ?,0.0,False,0
83,2025-12-01 15:04:40+00:00,Добрый вечер! Подскажите пожалуйста как в личном кабинете можно отключить постоплату?,20.0,False,1
84,2025-12-01 14:38:10+00:00,"Народ, может кто столкнулся. На части товара сегодня появилась ошибка ""скрыт из-за проблем с маркировкой"".  При чем в объединённых карточках на 2 товарах всё нормально на 1 проблема. И собственно где я возьму маркировку на старый товар, если он у меня на складе лежит больше года?",5.0,False,1
85,2025-12-01 14:30:37+00:00,"Откуда мы можем знать, что у вас там в Узбекистане. Это чат для российских продавцов",,False,0
86,2025-12-01 14:08:06+00:00,"Возвращаемся с ответом. Для того, чтобы поставку приняли, нужно верно заполнить заявку. Если ячейка отображается белой, товар примут по дате производства. Если же она подсвечена зелёным — просто уточните нужное значение: товар маркирован или нет. 

Более подробно написали в обращении 695587411057",,False,0
87,2025-12-01 14:06:15+00:00,"Добрый день!

За все надо платить.
Есть лучшие партнеры",,False,0
88,2025-12-01 13:55:40+00:00,"Доброго времени, подскажите кто-нибудь подключал технологического партнёра Altora от Яндекс Маркета, это действительно за счет Маркета и как вам результат?",1.0,False,0
89,2025-12-01 13:29:50+00:00,"Там проблема с хранением, ям потерял позиции и долю рынка, грузились под старые объемы, из за падения Яши товары стали дольше оборачиваться и Яша врубил платное хранение. Ещё и комиссии выше. Напоминает конец мегамаркета",0.0,False,7
90,2025-12-01 13:28:32+00:00,Участвую,,False,1
91,2025-12-01 13:28:20+00:00,60-75%,,False,1
92,2025-12-01 13:24:33+00:00,"Вчера наконец-то закончились товары на ЯМ. Вернемся , когда комиссии будут адекватны позиции ЯМ на рынке ( это очень далеко от ВБ и Озона при таких же комиссиях , как на топовых МП), сервис улучшиться и доставка товаров до клиента будет стоить сопоставимо с качеством этой самой доставки( мешки и 10% уничтожении товара на стадии доставки)!",0.0,False,4
93,2025-12-01 13:24:18+00:00,"Из-за не участия в акциях. Если участвуете, продажи есть",,False,0
94,2025-12-01 13:20:23+00:00,Цены высокие,0.0,False,2
95,2025-12-01 13:08:21+00:00,Добрый день ! Ребят у кого в ноябре продаж нет ? Это из-за комиссий или перерыв перед декабрем ?,9.0,False,0
96,2025-12-01 12:54:59+00:00,"Зарегистрировали вашу жалобу — мы все внимательно проверим и примем меры, если увидим недобросовестные действия со стороны покупателя. По правилам сервиса результат проверки не раскрывается, но мы обязательно разберёмся. 

Пишите, если будут вопросы. Хорошего дня!",,False,0
97,2025-12-01 12:42:17+00:00,"Простите за долгий ответ.

Сейчас мы еще разбираемся в вашей ситуации с заказом, как только всё выясним и ответ будет готов - вернемся к вам с обратной связью",,False,0
98,2025-12-01 12:30:20+00:00,"Всем привет. А сколько сейчас процент удержания на маркете? Зашла в сводку финансов и там все размыто. Обращение со мной закрыли, потому что я спрашиваю долю расходов😁",1.0,False,0
99,2025-12-01 12:22:50+00:00,Рады были помочь! Если возникнут вопросы - мы всегда рядом 🙂,,False,1
100,2025-12-01 12:19:28+00:00,"Отлично, спасибо 🤝",,False,1
101,2025-12-01 12:18:43+00:00,"Если этикетки на коробках соответствуют требованиям Маркета, то да, можете. В противном случае нужно оформить этикетки (на которых также должен быть штрихкод) заново",,True,0
102,2025-12-01 12:15:16+00:00,"Здравствуйте, Анастасия!

Если у товара нет срока годности, указывать его не нужно, однако на этикете должна присутствовать эта информация, что ограничений по сроку годности нет. Подробности оформления этикетки можно посмотреть здесь",,True,0
103,2025-12-01 12:03:57+00:00,"Получается я просто могу забрать коробки с озона и привезти на склад Яндекса, правильно?",,False,1
104,2025-12-01 12:03:07+00:00,"Здравствуйте! При поставке товаров, у которых срок годности не ограничен нужны ли даты производства, если производитель их не указал?",1.0,False,1
105,2025-12-01 12:02:28+00:00,"Здравствуйте, Роман!

При переносе магазина через API из Ozon на Яндекс Маркет штрихкоды, которые были перенесены вместе с товарами, не нужно обновлять при каждой поставке, если они соответствуют требованиям Маркета и уже указаны в карточке товара 🙂",,True,0
106,2025-12-01 11:59:54+00:00,"возможно, поддержка не в курсе была, куда тыкать))) у них такое часто бывает, а справку, так вообще раз в полгода меняют",,False,0
107,2025-12-01 11:56:38+00:00,и ределю назад оно у меня тыкалось)),,False,1
108,2025-12-01 11:56:19+00:00,"Здравствуйте. Подскажите пожалуйста, если перенёс магазин через апи из озона на Яндекс, штрих коды нужно обновлять при поставке или нет? Они просто отображаются у товара, поэтому непонятно))",,False,1
109,2025-12-01 11:55:50+00:00,"А неделю назад не тыкалась, вы сейчас это сделали? Может починили? Потому что я писал в тп они сказали временно убрали",,False,0
110,2025-12-01 11:55:31+00:00,"а вы тыкните на это ""от"" и будет вся расшифровка",,True,0
111,2025-12-01 11:25:26+00:00,Тоже так(,,False,0
112,2025-12-01 11:21:17+00:00,"Здравствуйте!

Простите за долгий ответ

Поля ""Количество упаковок в товаре"" и ""Единиц в одной упаковке"" нужны, если вы продаете товары по несколько штук, чтобы покупатели лучше понимали сколько товара они получат.

Например, если продаёте сразу несколько упаковок воды, а в одной упаковке 5 бутылок, благодаря полям ""Единиц в одной упаковке"" и ""Количество упаковок в товаре"" информация о количестве товара в упаковке и количестве упаковок сразу будет указана в описании и названии товара",,False,1
113,2025-12-01 11:19:32+00:00,"Просто пишут теперь ""услуги фбс от 1400"" а подробнее убрали возможность смотреть как раньше",,False,0
114,2025-12-01 11:18:26+00:00,Зато убрали смотреть комиссию в каждом товаре😆,,False,0
115,2025-12-01 11:17:56+00:00,"Наталья, ваши предыдущие обращения решены - это значит, что мы провели проверку и заблокировали тех пользователей, которые действительно высылали спам.

Сейчас мы не вводим автоблокировку на сообщения в чатах с покупателями, но обязательно рассмотрим это в будущем. Если у вас появляются новые примеры, необходимо отправить их в поддержку для проверки информации. Если спам подтвердится, пользователь будет заблокирован",,False,0
116,2025-12-01 11:17:43+00:00,"Здравствуйте!

Индекс видимости обновляется раз в сутки и по умолчанию в Сводке показывается значение за текущий месяц. Текущий месяц только начался, поэтому показывает такую цифру. Показатели индекса видимости можно отфильтровать на 7 дней, 14 дней, текущий или предыдущий месяц👌",,True,0
117,2025-12-01 11:13:06+00:00,Акции,,False,0
118,2025-12-01 11:10:39+00:00,"Серьёзно? У вас на маркете рассылают спам. Мы постоянно обращаемся в поддержку. Нам всегда присылают этот скрипт, закрывают обращение. И дальше всё по кругу. 
Повторяю свой сегодняшний вопрос, заданный в этом чате: когда вы начнёте блокировать за спам?!",1.0,True,3
119,2025-12-01 11:05:03+00:00,"А каким образом вы держите вопрос на контроле, если ваши операторы закрывают обращения с непонятными отписками.?",,False,0
120,2025-12-01 11:03:32+00:00,1 числа каждого месяца такие сообщения)) статистика не набралась пока,,False,0
121,2025-12-01 11:02:27+00:00,"Коллеги, подскажите, в СЦ Дзержинске обычно очереди и строго по времени? Получится раньше приехать и сдать?",0.0,False,0
122,2025-12-01 11:01:15+00:00,"Здравствуйте, Елена!

Большое спасибо вам за поздравления и такие тёплые слова ❤

Очень рады, что сладкий сюрприз понравился",,False,0
123,2025-12-01 11:00:23+00:00,"Возвраты отбраковывают тысячами рублей. То что человек даже не распаковывает, жулье",0.0,False,0
124,2025-12-01 10:59:40+00:00,"Всем привет, я тут дочитал одну книгу и до сих пор в шоке, как сильно она мне мозг перевернула. Называется Менталитет богатства.Автор прям по полочкам раскладывает, почему одни люди всю жизнь в деньгах купаются, а другие  вечные жертвы обстоятельств. И самое крутое  без всякой воды и мотивационных кричалок типа ты можешь всё. Конкретные установки, которые реально меняют мышление. Я после неё буквально на третий день поймал себя на том, что по-другому смотрю на деньги и возможности. Если интересно  могу скинуть,  в pdf нашёл нормальный вариант",0.0,False,8
125,2025-12-01 10:58:35+00:00,Очень прозрачно узнать сколько потеряют и раздадут) как умнажат коробки в габаритах вместо сложения. И умножат кванты на количество доставок)),,False,0
126,2025-12-01 10:56:23+00:00,Я знаю по какой цене они были и вижу что только за размещение 36-38% комиссия,,False,0
127,2025-12-01 10:55:49+00:00,"Смотрите внимательней по какой цене продажи были, вся экономика на ЯМ прозрачная",,False,0
128,2025-12-01 10:55:07+00:00,"Яндекс маркет . проверьте настройки . что-то заглючило :

Упал индекс видимости до 5%. У вас что-то случилось там на маркете или какие-то проблемы с личными кабинетом он обычно был 80-90% а сейчас 5%такого не бывает. Заказы перестали идти. Маркет займись проблемой лично+ кабинета что-то не то",2.0,False,1
129,2025-12-01 10:55:05+00:00,Товары для животных,,False,0
130,2025-12-01 10:54:55+00:00,"У меня на 82 продано, а к перечислению 24) буду после нг забирать товары со склада",,False,1
131,2025-12-01 10:54:45+00:00,Что за категория такая?,,False,0
132,2025-12-01 10:53:41+00:00,"У меня нет слов. Все сошли с ума. Ладно, попробую поторговать. Дураки всегда найдутся",6.0,True,0
133,2025-12-01 10:52:38+00:00,"Вот теперь уже как будто смысла торговать вообще ноль, но за тортик спасибо хахахах",0.0,False,0
134,2025-12-01 10:51:38+00:00,"В мою категорию крупняки зашли массово, за копейки каким то образом торгуют так еще и на первых местах в поиске",0.0,False,0
